,Unnamed: 0,Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value,Message,year,Specific_Boroughs_Air
0,0,333939,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2014-15,12/01/2014,10.21,,2014,Bronx
1,1,547354,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2017,01/01/2017,7.72,,2017,Bronx
2,2,605650,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2017-18,12/01/2017,8.28,,2017,Bronx
3,3,179503,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2010-11,12/01/2010,13.85,,2010,Bronx
4,4,179643,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2009,12/01/2008,11.05,,2008,Bronx
5,5,179648,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2010,12/01/2009,10.14,,2009,Bronx
6,6,179568,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Summer 2009,06/01/2009,10.73,,2009,Bronx
7,7,179653,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2011,12/01/2010,10.82,,2010,Bronx
8,8,211405,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2013-14,12/01/2013,12.5,,2013,Bronx
9,9,333937,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2015,01/01/2015,9.24,,2015,Bronx
10,10,410720,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2015-16,12/01/2015,8.4,,2015,Bronx
11,11,410722,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2016,12/31/2015,7.75,,2015,Bronx
12,12,605888,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Annual Average 2018,01/01/2018,7.7,,2018,Bronx
13,13,605889,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,UHF34,105106107,South Bronx,Summer 2018,06/01/2018,9.08,,2018,Bronx
14,14,211435,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Annual Average 2014,12/01/2013,9.27,,2013,Bronx
15,15,179498,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2009-10,12/01/2009,10.95,,2009,Bronx
16,16,179508,365,Fine Particulate Matter (PM2.5),Mean,mcg per cubic meter,Borough,1,Bronx,Winter 2011-12,12/01/2011,9.93,,2011,Bronx
