,Unnamed: 0,ID,Segment ID,Roadway Name,From,To,Direction,Date,sum,Full Name,Boroughs
0,0,2,70376,3 Avenue,East 154 Street,East 155 Street,NB,09/13/2014,8097.0,3 Avenue from East 154 Street to East 155 Street,West Bronx
1,1,2,70376,3 Avenue,East 155 Street,East 154 Street,SB,09/13/2014,6211.0,3 Avenue from East 155 Street to East 154 Street,West Bronx
2,2,56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,EB,09/13/2014,3978.0,Bedford Park Boulevard from Grand Concourse to Valentine Avenue,West Bronx
3,3,56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,WB,09/13/2014,4003.0,Bedford Park Boulevard from Grand Concourse to Valentine Avenue,West Bronx
4,4,62,147673,Broadway,West 242 Street,240 Street,SB,09/13/2014,11477.0,Broadway from West 242 Street to 240 Street,The Bronx
5,5,62,158447,Broadway,West 242 Street,240 Street,NB,09/13/2014,11477.0,Broadway from West 242 Street to 240 Street,The Bronx
6,6,62,255653,Broadway,West 242 Street,240 Street,SB,09/13/2014,3579.0,Broadway from West 242 Street to 240 Street,The Bronx
7,7,71,139620,Bronx River Parkway,Bronx River,East Gun Hill Road,NB,09/13/2014,43119.0,Bronx River Parkway from Bronx River to East Gun Hill Road,East Bronx
8,8,71,139618,Bronx River Parkway,East Gun Hill Road,Bronx River,SB,09/13/2014,38351.0,Bronx River Parkway from East Gun Hill Road to Bronx River,East Bronx
9,9,76,70364,Brook Avenue,East 152 Street,East 153 Street,SB,09/13/2014,3746.0,Brook Avenue from East 152 Street to East 153 Street,East 153rd Street
10,10,89,69780,East 138 Street,Canal Place,Rider Avenue,EB,09/13/2014,9306.0,East 138 Street from Canal Place to Rider Avenue,Canal Place
11,11,89,69780,East 138 Street,Rider Avenue,Canal Place,WB,09/13/2014,8154.0,East 138 Street from Rider Avenue to Canal Place,Canal Place
12,12,102,69979,Concourse Village West,East 156 Street,East 156 Street,NB,09/13/2014,3313.0,Concourse Village West from East 156 Street to East 156 Street,East 156th Street
13,13,104,9001519,Courtladt Avenue,East 153 Street,East 154 Street,NB,09/13/2014,3178.0,Courtladt Avenue from East 153 Street to East 154 Street,West Bronx
14,14,108,276970,East 144 Street,A J Griffin Place,Grand Concourse,WB,09/13/2014,2558.0,East 144 Street from A J Griffin Place to Grand Concourse,West Bronx
15,15,108,276970,East 144 Street,Grand Concourse,A J Griffin Place,EB,09/13/2014,3357.0,East 144 Street from Grand Concourse to A J Griffin Place,West Bronx
16,16,109,173496,East 149 Street,A J Griffin Place,Grand Concourse,WB,09/13/2014,10792.0,East 149 Street from A J Griffin Place to Grand Concourse,West Bronx
17,17,109,173496,East 149 Street,Grand Concourse,A J Griffin Place,EB,09/13/2014,13432.0,East 149 Street from Grand Concourse to A J Griffin Place,West Bronx
18,18,111,69836,East 149 Street,Morris Avenue,Park Avenue,WB,09/13/2014,12141.0,East 149 Street from Morris Avenue to Park Avenue,West Bronx
19,19,111,69836,East 149 Street,Park Avenue,Morris Avenue,EB,09/13/2014,9810.0,East 149 Street from Park Avenue to Morris Avenue,N/A
20,20,120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,NB,09/13/2014,5306.0,Eastchester Road from East Gun Hill Road to Adee Avenue,Pelham Gardens
21,21,120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,SB,09/13/2014,4217.0,Eastchester Road from East Gun Hill Road to Adee Avenue,Pelham Gardens
