,Location,Count Date,Day,24 Hr. Total Vol.,Unnamed: 4,coordinates
0,ANAHEIM AND PUENTE ROAD W/O AZUSA AVENUE,07/23/2008 12:00:00 AM,Wed,4651,,"33.9935686, -117.9274972"
1,PASS AND COVINA ROAD N/O ALWOOD STREET,10/18/2011 12:00:00 AM,Tue,1590,,"34.049174, -117.929314"
2,PASS AND COVINA ROAD S/O ALWOOD STREET,10/18/2011 12:00:00 AM,Tue,1753,,"34.049174, -117.929314"
3,EAST FORK ROAD E/O SAN GABRIEL CANYON ROAD,12/21/2016 12:00:00 AM,Wed,328,,"34.2294655, -117.7781481"
4,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/01/2017 12:00:00 AM,Sun,172,,N/A
5,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/02/2017 12:00:00 AM,Mon,300,,N/A
6,GEMBROOK AVENUE S/O PALM AVENUE,01/03/2017 12:00:00 AM,Tue,217,,"-37.95, 145.541"
7,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/03/2017 12:00:00 AM,Tue,855,,N/A
8,PALM AVENUE W/O GEMBROOK AVENUE,01/03/2017 12:00:00 AM,Tue,939,,"34.0889507, -118.3824802"
9,MCBRIDE AVENUE N/O OLYMPIC BOULEVARD,01/03/2017 12:00:00 AM,Tue,1978,,"34.01878110000001, -118.1702296"
10,GALE AVENUE W/O LATCHFORD AVENUE,01/03/2017 12:00:00 AM,Tue,19041,,"34.018604, -117.984453"
11,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/04/2017 12:00:00 AM,Wed,2159,,N/A
12,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/05/2017 12:00:00 AM,Thu,2482,,N/A
13,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/06/2017 12:00:00 AM,Fri,2129,,N/A
14,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/07/2017 12:00:00 AM,Sat,489,,N/A
15,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/08/2017 12:00:00 AM,Sun,297,,N/A
16,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/09/2017 12:00:00 AM,Mon,1979,,N/A
17,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/10/2017 12:00:00 AM,Tue,2400,,N/A
18,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/11/2017 12:00:00 AM,Wed,2290,,N/A
19,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/12/2017 12:00:00 AM,Thu,2062,,N/A
20,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/13/2017 12:00:00 AM,Fri,2471,,N/A
21,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/14/2017 12:00:00 AM,Sat,339,,N/A
22,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/15/2017 12:00:00 AM,Sun,234,,N/A
23,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/16/2017 12:00:00 AM,Mon,285,,N/A
24,ELMROCK AVENUE S/O GOLDEN LANTERN LANE,01/17/2017 12:00:00 AM,Tue,634,,"33.9229703, -117.9938816"
25,REIS STREET E/O HAWKSTONE AVENUE,01/17/2017 12:00:00 AM,Tue,819,,"33.9466044, -118.0441305"
26,AMBER VALLEY DRIVE E/O BREEZEWOOD AVENUE,01/17/2017 12:00:00 AM,Tue,889,,"33.9177772, -117.9905656"
27,GROVEDALE DRIVE S/O GOLDEN LANTERN LANE,01/17/2017 12:00:00 AM,Tue,893,,"33.9214265, -117.9931957"
28,GROVEDALE DRIVE S/O WHITESPRING DRIVE,01/17/2017 12:00:00 AM,Tue,947,,"33.9229603, -117.9883538"
29,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/17/2017 12:00:00 AM,Tue,2167,,N/A
30,BEXLEY DRIVE E/O MILNA AVENUE,01/17/2017 12:00:00 AM,Tue,2827,,"33.9891907, -118.0712685"
31,CALMADA AVENUE N/O MULBERRY DRIVE,01/17/2017 12:00:00 AM,Tue,5113,,"33.9443119, -118.0294463"
32,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/18/2017 12:00:00 AM,Wed,2239,,N/A
33,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/19/2017 12:00:00 AM,Thu,3427,,N/A
34,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/20/2017 12:00:00 AM,Fri,2222,,N/A
35,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/21/2017 12:00:00 AM,Sat,438,,N/A
36,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/22/2017 12:00:00 AM,Sun,90,,N/A
37,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/23/2017 12:00:00 AM,Mon,2095,,N/A
38,WILTON PLACE N/O 104TH STREET,01/24/2017 12:00:00 AM,Tue,777,,"34.0901123, -118.3135793"
39,DALEROSE AVENUE S/O CENTURY BOULEVARD,01/24/2017 12:00:00 AM,Tue,973,,"33.9454184, -118.3356003"
40,107TH STREET E/O WESTERN AVENUE,01/24/2017 12:00:00 AM,Tue,1129,,N/A
41,107TH STREET W/O DENKER AVENUE,01/24/2017 12:00:00 AM,Tue,1132,,"33.9019765, -118.3047626"
42,CHADRON AVENUE N/O MARINE AVENUE,01/24/2017 12:00:00 AM,Tue,1151,,"33.8946427, -118.3536114"
43,WILTON PLACE S/O CENTURY BOULEVARD,01/24/2017 12:00:00 AM,Tue,1178,,"33.9454674, -118.3143193"
44,ISIS AVENUE N/O 123RD STREET,01/24/2017 12:00:00 AM,Tue,1745,,"33.9216587, -118.3699732"
45,ISIS AVENUE S/O 123RD STREET,01/24/2017 12:00:00 AM,Tue,1898,,"33.9216587, -118.3699732"
46,ACADEMY DRIVE S/O CARTESIAN CIRCLE,01/24/2017 12:00:00 AM,Tue,2240,,N/A
47,REDONDO BEACH BOULEVARD W/O CRENSHAW BOULEVARD,01/24/2017 12:00:00 AM,Tue,24587,,"33.8837272, -118.3260586"
