,ID,Segment ID,Roadway Name,From,To,Direction,Date,sum
0,2,70376,3 Avenue,East 154 Street,East 155 Street,NB,09/13/2014,8097
1,2,70376,3 Avenue,East 155 Street,East 154 Street,SB,09/13/2014,6211
2,56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,EB,09/13/2014,3978
3,56,176365,Bedford Park Boulevard,Grand Concourse,Valentine Avenue,WB,09/13/2014,4003
4,62,147673,Broadway,West 242 Street,240 Street,SB,09/13/2014,11477
5,62,158447,Broadway,West 242 Street,240 Street,NB,09/13/2014,11477
6,62,255653,Broadway,West 242 Street,240 Street,SB,09/13/2014,3579
7,71,139620,Bronx River Parkway,Bronx River,East Gun Hill Road,NB,09/13/2014,43119
8,71,139618,Bronx River Parkway,East Gun Hill Road,Bronx River,SB,09/13/2014,38351
9,76,70364,Brook Avenue,East 152 Street,East 153 Street,SB,09/13/2014,3746
10,89,69780,East 138 Street,Canal Place,Rider Avenue,EB,09/13/2014,9306
11,89,69780,East 138 Street,Rider Avenue,Canal Place,WB,09/13/2014,8154
12,102,69979,Concourse Village West,East 156 Street,East 156 Street,NB,09/13/2014,3313
13,104,9001519,Courtladt Avenue,East 153 Street,East 154 Street,NB,09/13/2014,3178
14,108,276970,East 144 Street,A J Griffin Place,Grand Concourse,WB,09/13/2014,2558
15,108,276970,East 144 Street,Grand Concourse,A J Griffin Place,EB,09/13/2014,3357
16,109,173496,East 149 Street,A J Griffin Place,Grand Concourse,WB,09/13/2014,10792
17,109,173496,East 149 Street,Grand Concourse,A J Griffin Place,EB,09/13/2014,13432
18,111,69836,East 149 Street,Morris Avenue,Park Avenue,WB,09/13/2014,12141
19,111,69836,East 149 Street,Park Avenue,Morris Avenue,EB,09/13/2014,9810
20,120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,NB,09/13/2014,5306
21,120,111919,Eastchester Road,East Gun Hill Road,Adee Avenue,SB,09/13/2014,4217
22,121,88518,Eastchester Road,Givan Avenue,Tillotson Avenue,NB,09/13/2014,6414
23,121,88518,Eastchester Road,Givan Avenue,Tillotson Avenue,SB,09/13/2014,5177
24,124,89015,East 233 Street,Webster Avenue,Bronx River Parkway,EB,09/13/2014,16329
25,124,89015,East 233 Street,Webster Avenue,Bronx River Parkway,WB,09/13/2014,16293
26,125,9014611,East Fordham Road,Southern Boulevard,Bronx River Parkway,EB,09/13/2014,34483
27,125,9014615,East Fordham Road,Southern Boulevard,Bronx River Parkway,WB,09/13/2014,33130
28,127,262252,East Mosholu Parkway,Grand Concourse,Van Courtlandt Avenue East,SB,09/13/2014,1809
29,128,133710,East Tremont Avenue,Anthony Avenue,Monroe Avenue,EB,09/13/2014,4426
30,128,133711,East Tremont Avenue,Anthony Avenue,Monroe Avenue,WB,09/13/2014,5148
31,138,111203,Exterior Street,East 138 Street,East 135 Street,SB,09/13/2014,24010
32,162,176277,Grand Concourse,184 Street,187 Street,NB,09/13/2014,8708
33,162,176277,Grand Concourse,184 Street,187 Street,SB,09/13/2014,9052
34,165,146046,Harlem River Driveway,Dyckman Street,Amsterdam Avenue,SB,09/13/2014,10661
35,165,155099,Harlem River Driveway,Dyckman Street,Amsterdam Avenue,NB,09/13/2014,10197
36,166,132490,Henry Hudson Parkway,Dyckman Street,Henry Hudson Bridge,SB,09/13/2014,26050
37,166,189377,Henry Hudson Parkway,Dyckman Street,Henry Hudson Bridge,NB,09/13/2014,28393
38,167,9008507,Henry Hudson Parkway,Netherland Avenue,Johnson Avenue,NB,09/13/2014,26418
39,167,9008505,Henry Hudson Parkway,Netherland Avenue,Johnson Avenue,SB,09/13/2014,28091
40,169,143872,Hutchinson River Parkway,Bartow Avenue,New England Thruway,SB,09/13/2014,42808
41,169,143873,Hutchinson River Parkway,Bartow Avenue,New England Thruway,NB,09/13/2014,41049
42,170,9008891,Hutchinson River Parkway,Boller Avenue,Einstein Loop SB,NB,09/13/2014,57843
43,170,9008895,Hutchinson River Parkway,Boller Avenue,Einstein Loop SB,SB,09/13/2014,53650
44,221,70220,Melrose Avenue,East 153 Street,East 154 Street,NB,09/13/2014,4479
45,221,70220,Melrose Avenue,East 154 Street,East 153 Street,SB,09/13/2014,6225
46,224,9003579,Morris Avenue,156 Street,Park Avenue,NB,09/13/2014,11159
47,224,9003579,Morris Avenue,156 Street,Park Avenue,SB,09/13/2014,7582
48,225,9001489,Morris Avenue,East 153 Street,East 156 Street,NB,09/13/2014,5308
49,225,9001489,Morris Avenue,East 156 Street,East 153 Street,SB,09/13/2014,3347
50,227,107183,Moshoulu Parkway,Van Courtlandt Avenue East,Grand Concourse,NB,09/13/2014,7758
51,227,107183,Moshoulu Parkway,Van Courtlandt Avenue East,Grand Concourse,SB,09/13/2014,9533
52,236,261726,Park Avenue,138 Street,135 Street,NB,09/13/2014,2702
53,249,192425,Provost Avenue,East 233 Street,Westchester,SB,09/13/2014,4402
54,249,192425,Provost Avenue,East 233 Street,Westchester,NB,09/13/2014,5440
55,262,73436,Riverdale Avenue,West 238 Street,West 239 Street,NB,09/13/2014,4535
56,262,73436,Riverdale Avenue,West 239 Street,West 238 Street,SB,09/13/2014,6311
57,268,69696,River Avenue,East 150 Street,East 151 Street,NB,09/13/2014,5138
58,268,69696,River Avenue,East 151 Street,East 150 Street,SB,09/13/2014,3659
59,276,113134,Sedgwick Avenue,West Fordham Road,West 183 Street,SB,09/13/2014,5940
60,276,113134,Sedgwick Avenue,West 183 Street,West Fordham Road,NB,09/13/2014,5117
61,286,134461,Southern Boulevard,East Fordham Road,East Fordham Road,SB,09/13/2014,12038
62,286,146666,Southern Boulevard,East Fordham Road,East Fordham Road,NB,09/13/2014,8211
63,65,144331,BQE,59 Place,59 Street,WB,11/18/2014,56127
64,288,9001819,St. Anns Avenue,East 156 Street,Rae Street,SB,09/13/2014,2169
65,288,9001819,St. Anns Avenue,Rae Street,East 156 Street,NB,09/13/2014,3798
66,290,145927,Southern Boulevard,Mosholu Parkway,Bronx River Parkway,WB,09/13/2014,16347
67,290,145928,Southern Boulevard,Mosholu Parkway,Bronx River Parkway,EB,09/13/2014,15895
68,308,72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,WB,09/13/2014,24068
69,308,72881,University Heights Bridge Approach,Harlem River Shoreline,9 Avenue,EB,09/13/2014,19493
70,349,132595,White Plains Road,East 215 Street,East 216 Street,SB,09/13/2014,8914
71,349,8103575,White Plains Road,East 215 Street,East 216 Street,NB,09/13/2014,5757
72,2,70376,3 Avenue,East 154 Street,East 155 Street,NB,09/14/2014,7195
