OBJECTID,healthind,boeint_fkey,calenvscreen,GlobalID
1,33.648024,95968,11.2226577116,a7e0f1c4-4ca0-4116-bf85-b37322dd1c79
2,38.520189,95969,20.3385209434,531215bc-78f0-411f-9242-4495404b0e4f
3,36.48296,95970,10.1191996325,82be94af-5863-4cc1-a3e2-65459606832e
4,39.201873,95971,20.5964975126,85b1ba81-f397-4b10-961c-dafbe7722c56
5,39.201873,95973,20.5964975126,b613dad1-84ed-46db-bd3a-b98ee20c7958
6,37.469819,95974,12.4976349029,855e0ae1-777b-4bec-ad0a-92efab91e15e
7,37.469819,95975,7.94805401481,55106cc6-ebc1-4360-b84d-f042cae231f5
8,34.032736,95976,,689ad065-160a-4ddb-a5d3-1260e686101e
9,44.009625,95977,26.9816581551,52a717d3-293f-4946-804b-31a96c855222
10,,95978,32.6654130472,8c9e8309-3284-4587-9df3-7c50bc465097
11,,95979,32.6654130472,1c1429a2-8fc7-4dc3-adbb-968d06e0b06a
12,35.091378,95980,10.1191996325,a64db313-b6e8-4744-8a8f-6aa79ca25799
13,39.201873,95981,20.5964975126,21501660-d271-4902-8cbd-495d1cf5dcf3
14,44.009625,95982,26.9816581551,84663d3a-4b25-409d-85ca-58d493437d75
15,35.039606,95983,11.2226577116,32c1bd5b-a91f-47ae-9dc1-56bbc91002d2
16,37.469819,95992,12.4976349029,b1ae9ff1-bed3-4684-9ac8-0f6132d2f330
17,37.469819,95993,12.4976349029,73db0d3f-bef8-4fbe-b8ff-e246c2cb46ad
18,37.469819,95994,12.4976349029,6c07dc0b-35a4-4fc7-b876-9dbab8941f21
19,60.239885,95996,40.9604311613,83b2ad62-fc0b-4fc3-b3bd-ad0dcbb8305d
20,58.386784,95997,46.4628402923,025b8312-9bcb-46a5-a4f5-b10f89abbb90
21,60.239885,95998,40.9604311613,388d8247-da8f-4024-ac76-079a0849caa8
22,53.420019,95999,38.2777158788,c79c8ce0-595e-447b-9c5a-24f67f2ccec5
23,58.647345,96000,46.4628402923,12a0a034-aee0-4bb1-8dd8-c0750d6b833f
24,53.420019,96002,38.2777158788,5cecc649-f5d9-4c42-bc6b-34bd6160f977
25,53.420019,96003,38.2777158788,d4ac26e6-bdb0-4045-87c9-dd2e21b112fb
26,53.420019,96005,38.2777158788,43934cdd-545a-476e-943f-b07c961d83a1
27,53.420019,96006,33.8929018283,264abf70-08ce-4ef0-85e3-4a7181fbf88a
28,55.755575,96007,41.542292335,55823260-5ffb-4270-8cfe-a6c852e9cf90
29,57.801349,96008,35.7876007322,340febeb-ea67-47bb-adc6-c87a0d1209f1
30,55.650218,96009,33.8929018283,161a4622-088f-4ce9-a734-ce6c77b51fca
31,56.459026,96013,30.3931151141,96b15aed-64e1-4d3c-8247-fbaae4337795
32,57.522617,96014,39.809188408,6115e033-cc54-4cb3-a63b-5ff491e748f0
33,55.755575,96015,41.542292335,43e1064d-0430-4c2d-9d8c-aa7979ef0f51
34,56.459026,96017,30.3931151141,ca15e322-bdad-4a0a-8200-36bc7aec6d8a
35,56.627607,96018,40.6528121456,40fe41c1-68ef-4ce1-b654-729a966c1f69
36,55.241356,96019,46.9723720026,4c29ce5a-5a10-4954-bc3d-8367d616a5a3
37,58.001403,96020,40.9604311613,cd23f5b6-559d-438b-a8f7-b85c385f7ee6
38,38.951438,96023,17.3416092993,a180d404-6263-4fa0-8aba-9522b0048394
39,38.520189,96025,20.3385209434,cc3f779e-cb2f-4745-8d08-e82e58540a97
40,38.520189,96026,20.3385209434,6ddbc93e-5cb9-4f56-b4b7-7b285ae17676
41,38.520189,96027,20.3385209434,d43751c9-706d-4de2-8593-6d0d0e079ea5
42,49.216926,96028,28.4556828507,f62b6f8b-9b14-4486-8a5b-824f0301daed
43,40.844222,96030,29.6856353113,e7cd8285-d643-47d9-84da-231c05a2b033
44,57.959782,96031,44.7145873473,5f35487b-3b06-45c0-9b2b-9fc0f4194bae
45,55.241356,96032,46.9723720026,acb1b1ec-388d-409c-9a4a-7524c9d76616
46,49.216926,96033,28.4556828507,dc138e01-cb5a-47fa-a15f-2c84fb01d84e
47,49.478961,96034,36.020706806,42b0a913-ab04-4510-ba82-a8e34e081b7b
48,49.478961,96035,36.020706806,42ae490f-4ad2-4e39-9c97-ee1042315f67
49,53.554884,96036,30.3931151141,b0af6b75-145f-4b1f-8bbb-388bae031715
50,49.478961,96037,38.2777158788,d4bb0f9a-a33f-4cee-8d19-84007974794e
51,54.377163,96038,32.9972339363,3705335e-c01b-4dc5-a190-27867e6f47e7
52,56.628,96039,32.9972339363,98a7dd66-bc78-4e17-84e3-a8fe0c2e90f0
53,56.628,96040,32.9972339363,d508b97c-24cc-4704-b2e6-04fc03d80a7b
54,57.338111,96042,51.1023514485,b9d138c6-2632-4a7b-b25c-cfc310dbb07e
55,62.816146,96043,63.3070438761,a0487d0d-27a0-473f-ba49-2c54e58c8503
56,67.265789,96044,55.506758022,98d51c4b-999c-482a-b73e-e05faf7b3357
57,64.308401,96045,49.6996777743,edb33ce0-8e6b-4bcf-ad33-f8c5f9e51c7c
58,56.628,96046,32.9972339363,22fb6451-ac8d-47c8-804a-b0c0c129b0c5
59,56.897332,96047,38.2278409667,b10e11cc-4661-4fbf-a5aa-bdd086c2775c
60,57.801349,96048,35.7876007322,06c30267-9b30-4ff4-b5d0-c3d15d084f13
61,56.897332,96049,38.2278409667,11e0a6f4-ef65-49d5-8ac4-97a59b3e6337
62,57.801349,96050,35.7876007322,97596b24-9324-4cf4-b2a5-5d00790dd25d
63,57.801349,96051,35.7876007322,49dcf37a-7036-4b77-a618-13ee708b8845
64,57.801349,96052,30.3931151141,7ca552cc-41ac-430e-aa45-4c550cb55d81
65,56.459026,96053,30.3931151141,ea9f0d5d-5b2c-4ee9-a28c-18ba7531d88f
66,56.459026,96054,30.3931151141,fd43666d-deed-4340-abd4-a3a2ff850dfa
67,56.459026,96055,30.3931151141,10ad676a-d1d8-4c1e-9b5c-5eebb08e4bef
68,53.320762,96057,33.8929018283,85f9fa5e-9bd6-4584-b40c-62a328e80d6e
69,55.842139,96058,31.5576900328,6cc4315b-48ee-43b7-a659-1b9c1523db69
70,55.842139,96059,31.5576900328,ba571810-66db-4a5b-9360-04520b8553e7
71,56.627607,96061,40.6528121456,5a59fbd6-8cd2-4500-a241-ecd984ad9d75
72,65.527844,96064,63.3070438761,c2b23acd-a00c-4553-8250-a3d13963bf50
73,65.527844,96065,63.3070438761,9274b086-a2c0-4c7b-9085-a6089c95e034
74,63.13222,96066,52.9835930723,1ca57e89-467b-48aa-b154-fef06c7c4835
75,65.003888,96067,57.7767217997,3ee895b9-31a2-49e7-9667-8641cead1436
76,64.800478,96068,50.3500036263,957e9a77-51a9-4ef6-a625-6415ccbc297e
77,60.140161,96070,54.3135666004,6cd54718-d1d5-43fa-95be-f6a9a55fd763
78,53.925238,96072,40.6528121456,b5a08887-3811-46cd-adc1-4fac14099388
