OBJECTID,ASSETID,ID,Location,TOOLTIP,NLA_URL
1,200,8469,39TH  PL  AT  ST  ANDREWS  PL,39TH  PL  AT  ST  ANDREWS  PL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=8469
2,205,9287,24TH  ST  AT  GRIFFITH  AV,24TH  ST  AT  GRIFFITH  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=9287
3,218,9044,52ND  ST  AT  WESTERN  AV,52ND  ST  AT  WESTERN  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=9044
4,229,11085,OLYMPIC  BL  AT  LA  CIENEGA  BL,OLYMPIC  BL  AT  LA  CIENEGA  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11085
5,230,11333,ROBERTSON  BL  AT  GUTHRIE  AV,ROBERTSON  BL  AT  GUTHRIE  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11333
6,241,11152,WETHERLY DR AT WHITWORTH DR,WETHERLY DR AT WHITWORTH DR,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11152
7,242,11159,PACKARD  ST  E/O  LA CIENEGA  BL,PACKARD  ST  E/O  LA CIENEGA  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11159
8,246,11223,CREST  DR  AT  PICKFORD  ST,CREST  DR  AT  PICKFORD  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=11223
9,251,10803,53RD  ST  AT  COMPTON  AV,53RD  ST  AT  COMPTON  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=10803
10,262,12797,WILTON  PL  AT  SAN  MARINO  ST,WILTON  PL  AT  SAN  MARINO  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=12797
11,266,15540,BEAUDRY  AV  AT  2ND  ST,BEAUDRY  AV  AT  2ND  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=15540
12,276,12961,QUEEN ANNE PL  AT 12th ST,QUEEN ANNE PL  AT 12th ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=12961
13,7,393,READING AV  AT  INTERCEPTOR ST,READING AV  AT  INTERCEPTOR ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=393
14,18,846,WEST  BL  N/O  SLAUSON  AV,WEST  BL  N/O  SLAUSON  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=846
15,27,3743,CROCKER  ST  AT  87TH  PL,CROCKER  ST  AT  87TH  PL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=3743
16,72,2279,ASCOT AV AT 55th ST,ASCOT AV AT 55th ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=2279
17,74,3558,CENTURY  BL  AT  CENTRAL  AV,CENTURY  BL  AT  CENTRAL  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=3558
18,113,5500,NEPTUNE  AV  AT  SANDISON  ST,NEPTUNE  AV  AT  SANDISON  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=5500
19,129,5818,EUBANK  AV  AT  G  ST,EUBANK  AV  AT  G  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=5818
20,134,6518,DON ST AT FRIGATE AV,DON ST AT FRIGATE AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=6518
21,145,6646,EVELYN  AV  AT  182ND  ST,EVELYN  AV  AT  182ND  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=6646
22,155,6600,ANAHEIM  ST AT SCHLEY AV,ANAHEIM  ST AT SCHLEY AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=6600
23,162,7223,112th ST AT WILMINGTON AV,112th ST AT WILMINGTON AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=7223
24,388,21655,BROADWAY  AT  51ST  ST,BROADWAY  AT  51ST  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=21655
25,396,21844,MONTANA  AV  E/O  SEPULVEDA  BL,MONTANA  AV  E/O  SEPULVEDA  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=21844
26,397,17392,16th ST E/O DODSON AV,16th ST E/O DODSON AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=17392
27,405,19282,REDWOOD AV N/O MINDANAO WAY,REDWOOD AV N/O MINDANAO WAY,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=19282
28,422,19477,OSAGE AV S/O 83rd ST,OSAGE AV S/O 83rd ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=19477
29,423,19488,BELFORD  AV  AT  83RD  ST,BELFORD  AV  AT  83RD  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=19488
30,428,21981,OPHIR  DR  AT  MIDVALE  AV,OPHIR  DR  AT  MIDVALE  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=21981
31,430,17911,17TH  ST  AT  CENTRE  ST,17TH  ST  AT  CENTRE  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=17911
32,438,17979,INDIANA  AV  AT  4TH  AV,INDIANA  AV  AT  4TH  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=17979
33,451,18343,BROOKS  AV  AT  5TH  AV,BROOKS  AV  AT  5TH  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=18343
34,467,22176,CLUB VIEW  DR  AT  COMSTOCK  AV,CLUB VIEW  DR  AT  COMSTOCK  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=22176
35,468,22195,BEVERLY GLEN  BL  AT  WILSHIRE  BL,BEVERLY GLEN  BL  AT  WILSHIRE  BL,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=22195
36,483,21195,LONG BEACH  AV  AT  55TH  ST,LONG BEACH  AV  AT  55TH  ST,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=21195
37,488,21543,BROADWAY  N/O  SLAUSON  AV,BROADWAY  N/O  SLAUSON  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=21543
38,501,28609,PELHAM  AV  AT  LA  GRANGE  AV,PELHAM  AV  AT  LA  GRANGE  AV,http://navigatela.lacity.org/reports/dot_hr_traffic_counts_report.cfm?pk=28609
